"","values","method"
"266",1.18051664679662,"AIPW"
"267",1.58145898523141,"DML (XGBoost)"
"268",1.08367698142083,"DML (SVM)"
"269",0.910636832269941,"PSM"
"270",0.94715857032791,"AIPW"
"271",1.2799922926721,"DML (XGBoost)"
"272",0.97783558694198,"DML (SVM)"
"273",1.0003386075349,"PSM"
"274",1.03151058037174,"AIPW"
"275",1.53466091891262,"DML (XGBoost)"
"276",1.01863012426578,"DML (SVM)"
"277",0.870788502841447,"PSM"
"278",0.826635222330781,"AIPW"
"279",1.38549857397214,"DML (XGBoost)"
"280",0.912397851429467,"DML (SVM)"
"281",1.15356127249274,"PSM"
"282",1.018526355997,"AIPW"
"283",1.38233359401244,"DML (XGBoost)"
"284",0.930692084333229,"DML (SVM)"
"285",1.07868044786808,"PSM"
"286",1.00029546367876,"AIPW"
"287",1.48389727718247,"DML (XGBoost)"
"288",1.07188564412829,"DML (SVM)"
"289",0.942788048304403,"PSM"
"290",0.775799581554579,"AIPW"
"291",1.33202873360824,"DML (XGBoost)"
"292",0.807773106159018,"DML (SVM)"
"293",0.97826747615069,"PSM"
"294",1.02076829805048,"AIPW"
"295",1.4121710095895,"DML (XGBoost)"
"296",0.979460754482658,"DML (SVM)"
"297",1.13491093627495,"PSM"
"298",1.32504765517903,"AIPW"
"299",1.48908003749511,"DML (XGBoost)"
"300",1.0520559176688,"DML (SVM)"
"301",0.908593239930514,"PSM"
"302",0.946088359247472,"AIPW"
"303",1.39763466670079,"DML (XGBoost)"
"304",0.945702103468129,"DML (SVM)"
"305",0.946500115647955,"PSM"
"306",1.08394764777605,"AIPW"
"307",1.48408453259316,"DML (XGBoost)"
"308",1.04568662303824,"DML (SVM)"
"309",1.03575178955084,"PSM"
"310",0.883059109279482,"AIPW"
"311",1.36783188326569,"DML (XGBoost)"
"312",0.937312186090098,"DML (SVM)"
"313",0.979574730042632,"PSM"
"314",1.01150411750437,"AIPW"
"315",1.29505729409509,"DML (XGBoost)"
"316",0.952412133737647,"DML (SVM)"
"317",0.820965009616329,"PSM"
"318",0.805804177159137,"AIPW"
"319",1.26220782607834,"DML (XGBoost)"
"320",0.80531526588788,"DML (SVM)"
"321",0.937867479428557,"PSM"
"322",1.16853587597264,"AIPW"
"323",1.34855176216407,"DML (XGBoost)"
"324",0.878449270197209,"DML (SVM)"
"325",0.942966891978757,"PSM"
"326",0.951737095894225,"AIPW"
"327",1.32806937983643,"DML (XGBoost)"
"328",0.950196906273894,"DML (SVM)"
"329",1.05770301159268,"PSM"
"330",1.02966123226449,"AIPW"
"331",1.37252442726229,"DML (XGBoost)"
"332",1.01775622295227,"DML (SVM)"
"333",0.819886601097421,"PSM"
"334",0.949529433775297,"AIPW"
"335",1.36255168873695,"DML (XGBoost)"
"336",0.971169202247604,"DML (SVM)"
"337",1.08905087712455,"PSM"
"338",0.973163970502207,"AIPW"
"339",1.3908701151778,"DML (XGBoost)"
"340",0.939360733884262,"DML (SVM)"
"341",0.909536176359078,"PSM"
"342",1.0793759180026,"AIPW"
"343",1.52947891004578,"DML (XGBoost)"
"344",1.1290225846062,"DML (SVM)"
"345",1.04701057052985,"PSM"
"346",0.954700243507792,"AIPW"
"347",1.44134545408021,"DML (XGBoost)"
"348",1.0283493466132,"DML (SVM)"
"349",0.888734576607524,"PSM"
"350",0.811780438657219,"AIPW"
"351",1.38685964271071,"DML (XGBoost)"
"352",0.904124564119313,"DML (SVM)"
"353",0.855396748680775,"PSM"
"354",0.832534485679525,"AIPW"
