"","values","method"
"273",1.68021520219127,"PSM"
"274",0.957321804841737,"AIPW"
"275",1.35287561651307,"DML (XGBoost)"
"276",0.989803298452869,"DML (SVM)"
"277",1.81616669458152,"PSM"
"278",0.954988806530539,"AIPW"
"279",1.35797582515909,"DML (XGBoost)"
"280",1.00330711857182,"DML (SVM)"
"281",1.81675782899986,"PSM"
"282",1.04376366657382,"AIPW"
"283",1.51171433251295,"DML (XGBoost)"
"284",1.04599293185554,"DML (SVM)"
"285",1.87792655266897,"PSM"
"286",1.00897614035316,"AIPW"
"287",1.45512643563462,"DML (XGBoost)"
"288",1.08870239874176,"DML (SVM)"
"289",1.68914649238493,"PSM"
"290",0.937199334907629,"AIPW"
"291",1.33699649580545,"DML (XGBoost)"
"292",0.917733832683624,"DML (SVM)"
"293",1.78581466125634,"PSM"
"294",1.06330260109545,"AIPW"
"295",1.3465491931273,"DML (XGBoost)"
"296",0.970795669522822,"DML (SVM)"
"297",1.83146038478639,"PSM"
"298",1.03807414253624,"AIPW"
"299",1.40871875794218,"DML (XGBoost)"
"300",0.995364860925463,"DML (SVM)"
"301",1.63331321074443,"PSM"
"302",1.01294737925975,"AIPW"
"303",1.4182619461909,"DML (XGBoost)"
"304",0.98806478497566,"DML (SVM)"
"305",1.83826405041681,"PSM"
"306",1.10848338713661,"AIPW"
"307",1.49831009353011,"DML (XGBoost)"
"308",1.08123852846397,"DML (SVM)"
"309",2.08137564799561,"PSM"
"310",1.06600874644646,"AIPW"
"311",1.56043482573398,"DML (XGBoost)"
"312",1.0421599330924,"DML (SVM)"
"313",1.78950023941496,"PSM"
"314",1.01682430839436,"AIPW"
"315",1.47045052788926,"DML (XGBoost)"
"316",1.08169254240757,"DML (SVM)"
"317",1.63784902629728,"PSM"
"318",0.947763355544051,"AIPW"
"319",1.42706765463716,"DML (XGBoost)"
"320",1.03907759235866,"DML (SVM)"
"321",1.75055773635028,"PSM"
"322",0.928966698693725,"AIPW"
"323",1.35106548161228,"DML (XGBoost)"
"324",1.02438107703381,"DML (SVM)"
"325",1.72850072488379,"PSM"
"326",1.02042823472855,"AIPW"
"327",1.40653712150295,"DML (XGBoost)"
"328",0.998377126384706,"DML (SVM)"
"329",1.72536993611529,"PSM"
"330",0.996986117661763,"AIPW"
"331",1.50340514527595,"DML (XGBoost)"
"332",0.985199102065678,"DML (SVM)"
"333",1.61596686375662,"PSM"
"334",0.797017191591915,"AIPW"
"335",1.3214175077814,"DML (XGBoost)"
"336",0.951459969383257,"DML (SVM)"
"337",2.01679271861685,"PSM"
"338",1.17570595961319,"AIPW"
"339",1.62953473306102,"DML (XGBoost)"
"340",1.09113800195202,"DML (SVM)"
"341",2.02310726219954,"PSM"
"342",0.978886608482086,"AIPW"
"343",1.48727702421777,"DML (XGBoost)"
"344",1.02419644135452,"DML (SVM)"
"345",1.78802466181323,"PSM"
"346",1.05430926322329,"AIPW"
"347",1.41925096995831,"DML (XGBoost)"
"348",0.985531183084757,"DML (SVM)"
"349",1.59602073588636,"PSM"
"350",1.00850224926955,"AIPW"
"351",1.34020700728114,"DML (XGBoost)"
"352",1.04554553501486,"DML (SVM)"
"353",1.68019903232803,"PSM"
"354",0.866753496492183,"AIPW"
"355",1.40193701764964,"DML (XGBoost)"
"356",0.918839548988893,"DML (SVM)"
"357",1.96718188799135,"PSM"
"358",1.15908453931595,"AIPW"
"359",1.51921100254572,"DML (XGBoost)"
"360",1.05837867013728,"DML (SVM)"
"361",1.79002178574208,"PSM"
"362",1.0638431626287,"AIPW"
"363",1.41480572869715,"DML (XGBoost)"
